Trans. Date,Post Date,Description,Amount
2024-01-15,2024-01-16,Grocery Store Purchase,85.32
2024-01-15,2024-01-16,Coffee Shop,4.75
2024-01-16,2024-01-17,Gas Station,45.50
2024-01-16,2024-01-17,Online Shopping - Amazon,65.99
2024-01-17,2024-01-18,Restaurant Dinner,32.45
2024-01-18,2024-01-19,Pharmacy,28.99
2024-01-19,2024-01-20,Mobile Phone Bill,85.00
2024-01-20,2024-01-21,Gym Membership,49.99
2024-01-21,2024-01-22,Grocery Store,112.34
2024-01-22,2024-01-23,Public Transport,25.00
2024-01-23,2024-01-24,Coffee Shop,5.25
2024-01-24,2024-01-25,Online Streaming Service,14.99
2024-01-25,2024-01-26,Restaurant Lunch,18.50
2024-01-26,2024-01-27,Utilities Bill,145.00
2024-01-27,2024-01-28,Grocery Store,78.45
2024-01-28,2024-01-29,Gas Station,42.75
2024-01-29,2024-01-30,Online Shopping,89.99
2024-01-30,2024-01-31,Coffee Shop,4.50
2024-01-31,2024-02-01,Internet Bill,79.99
2024-02-01,2024-02-02,Restaurant Dinner,55.75
2024-02-02,2024-02-03,Grocery Store,95.45
2024-02-03,2024-02-04,Movie Theater,32.00
2024-02-04,2024-02-05,Gas Station,48.25
2024-02-05,2024-02-06,Pharmacy,42.99
2024-02-06,2024-02-07,Coffee Shop,6.25
2024-02-07,2024-02-08,Public Transport,25.00
2024-02-08,2024-02-09,Restaurant Lunch,22.50
2024-02-09,2024-02-10,Grocery Store,125.75
2024-02-10,2024-02-11,Online Shopping - Electronics,299.99
2024-02-11,2024-02-12,Gas Station,44.50
2024-02-12,2024-02-13,Coffee Shop,5.75
2024-02-13,2024-02-14,Restaurant Dinner,88.45
2024-02-14,2024-02-15,Valentine's Day Gift,75.00
2024-02-15,2024-02-16,Grocery Store,92.34
2024-02-16,2024-02-17,Mobile Phone Bill,85.00
2024-02-17,2024-02-18,Online Streaming Service,14.99
2024-02-18,2024-02-19,Gas Station,46.75
2024-02-19,2024-02-20,Coffee Shop,4.99
2024-02-20,2024-02-21,Restaurant Lunch,19.99
2024-02-21,2024-02-22,Grocery Store,88.45
2024-02-22,2024-02-23,Public Transport,25.00
2024-02-23,2024-02-24,Pharmacy,35.99
2024-02-24,2024-02-25,Online Shopping,122.50
2024-02-25,2024-02-26,Gas Station,43.25
2024-02-26,2024-02-27,Coffee Shop,5.50
2024-02-27,2024-02-28,Restaurant Dinner,65.75
2024-02-28,2024-02-29,Grocery Store,105.34
2024-02-29,2024-03-01,Utilities Bill,138.99
2024-03-01,2024-03-02,Internet Bill,79.99
2024-03-02,2024-03-03,Gas Station,47.50
2024-03-03,2024-03-04,Coffee Shop,4.75
2024-03-04,2024-03-05,Restaurant Lunch,21.50
2024-03-05,2024-03-06,Grocery Store,115.75
2024-03-06,2024-03-07,Movie Theater,28.00
2024-03-07,2024-03-08,Public Transport,25.00
2024-03-08,2024-03-09,Online Shopping,67.99
2024-03-09,2024-03-10,Gas Station,45.25
2024-03-10,2024-03-11,Coffee Shop,5.99
2024-03-11,2024-03-12,Restaurant Dinner,42.75
2024-03-12,2024-03-13,Grocery Store,98.45
2024-03-13,2024-03-14,Pharmacy,32.99
2024-03-14,2024-03-15,Mobile Phone Bill,85.00
2024-03-15,2024-03-16,Online Streaming Service,14.99
2024-03-16,2024-03-17,Gas Station,44.50
2024-03-17,2024-03-18,Coffee Shop,4.25
2024-03-18,2024-03-19,Restaurant Lunch,23.50
2024-03-19,2024-03-20,Grocery Store,132.45
2024-03-20,2024-03-21,Public Transport,25.00
2024-03-21,2024-03-22,Online Shopping,145.99
2024-03-22,2024-03-23,Gas Station,46.75
2024-03-23,2024-03-24,Coffee Shop,5.50
2024-03-24,2024-03-25,Restaurant Dinner,58.99
2024-03-25,2024-03-26,Grocery Store,92.34
2024-03-26,2024-03-27,Utilities Bill,142.50
2024-03-27,2024-03-28,Internet Bill,79.99
2024-03-28,2024-03-29,Gas Station,43.25
2024-03-29,2024-03-30,Coffee Shop,4.99
2024-03-30,2024-03-31,Restaurant Lunch,24.50
2024-03-31,2024-04-01,Grocery Store,108.75
